Respondent ID,Collector ID,Start_Date,End_Date,Consent,Age,Gender,Continent,Highest_Education,SES,Social_media_used_most,Hours_use,Seen_vaccines_post,SM_influence,Trust_most,MMR_autism,Disease_rare,Parents_decide,Neurological_problems,Handle_multiple,CDC_not_trustworthy,Follow_recommendation,Vaccine_risk,Measles_efficacy,Avoid_death,Data_publicity,Protect_immunocompromised
10327251281,215297112,11/5/18 13:40,11/5/18 13:43,"I agree to consent, data use, and terms listed above.",25-34,Male,"North America, United States","Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Twitter,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I am unsure,I believe this is true,I believe this is true,I believe this is true
10308439907,215297112,10/27/18 19:49,10/27/18 19:52,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Master's Degree,Middle Class,Facebook,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true,I believe this is true
10268443931,215297112,10/9/18 18:35,10/9/18 18:39,"I agree to consent, data use, and terms listed above.",18-24,Female,South America,High school (grade level 9-12/13),Middle Class,Twitter,5-6,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure,I believe this is true
10252039668,215297112,10/2/18 5:19,10/2/18 5:24,"I agree to consent, data use, and terms listed above.",35-44,Female,Australia/ Oceania,Bachelor Degree (4 year college/university degree),Middle Class,Instagram,3-4,Yes,NOT influenced my opinion on vaccines,Doctors,I am unsure,I believe this is NOT true,I am unsure,I believe this is true,I believe this is true,I believe this is true,I am unsure,I am unsure,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10246854621,216384412,9/28/18 17:13,9/28/18 17:18,"I agree to consent, data use, and terms listed above.",45-54,Female,"North America, Other",Bachelor Degree (4 year college/university degree),Middle Class,Facebook,3-4,Yes,Influenced my opinion on vaccines (vaccines are better then I thought previously),Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I am unsure,I believe this is true,I believe this is true,I believe this is true
10243526981,216384412,9/27/18 10:22,9/27/18 10:24,"I agree to consent, data use, and terms listed above.",25-34,Female,"North America, Other",Bachelor Degree (4 year college/university degree),Middle Class,Instagram,0-2,No,I have not seen anything about vaccines on social media,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I am unsure
10234665071,215297112,9/24/18 1:33,9/24/18 1:36,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Middle Class,Facebook,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10229315266,214745505,9/20/18 10:34,9/20/18 10:36,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Master's Degree,Middle Class,Instagram,0-2,No,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I am unsure,I believe this is NOT true,I believe this is true,I believe this is true,I am unsure,I am unsure,I believe this is true,I believe this is true
10221526964,215297112,9/17/18 9:39,9/17/18 9:42,"I agree to consent, data use, and terms listed above.",18-24,Female,"North America, United States",Bachelor Degree (4 year college/university degree),Middle Class,Instagram,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
10221037083,214745505,9/17/18 5:04,9/17/18 5:09,"I agree to consent, data use, and terms listed above.",25-34,Male,Australia/ Oceania,"Professional/Doctoral Degree (PhD, MD, DC etc..)",Middle Class,Facebook,0-2,Yes,NOT influenced my opinion on vaccines,Doctors,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is NOT true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true,I believe this is true
