"","Respondent.ID","Start_Date","Age","Gender","Continent","Highest_Education","SES","Social_media_used_most","Hours_use","Seen_vaccines_post","SM_influence","Trust_most","MMR_autism","Disease_rare","Parents_decide","Neurological_problems","Handle_multiple","CDC_not_trustworthy","Follow_recommendation","Vaccine_risk","Measles_efficacy","Avoid_death","Data_publicity","Protect_immunocompromised"
"1",10327251281,"11/5/18 13:40","25-34","Male","North America, United States","Professional_Degree","Middle Class","Twitter","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","Unsure","True","True","True"
"2",10308439907,"10/27/18 19:49","18-24","Female","North America, United States","Master_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","Unsure","True","True"
"3",10268443931,"10/9/18 18:35","18-24","Female","South America","High_school","Middle Class","Twitter","5-6","Yes","No_influence","Doctors","False","False","False","False","Unsure","False","True","True","True","True","Unsure","True"
"4",10252039668,"10/2/18 5:19","35-44","Female","Australia/ Oceania","Bachelor_Degree","Middle Class","Instagram","3-4","Yes","No_influence","Doctors","Unsure","False","Unsure","True","True","True","Unsure","Unsure","True","True","True","True"
"5",10246854621,"9/28/18 17:13","45-54","Female","North America, Other","Bachelor_Degree","Middle Class","Facebook","3-4","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","Unsure","True","True","True"
"6",10243526981,"9/27/18 10:22","25-34","Female","North America, Other","Bachelor_Degree","Middle Class","Instagram","0-2","No","Not_seen","Doctors","False","False","False","Unsure","True","False","True","True","True","True","True","Unsure"
"7",10234665071,"9/24/18 1:33","18-24","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","Unsure","False","False","False","True","True","True","True","True","True"
"8",10229315266,"9/20/18 10:34","18-24","Female","North America, United States","Master_Degree","Middle Class","Instagram","0-2","No","No_influence","Doctors","False","False","False","False","Unsure","False","True","True","Unsure","Unsure","True","True"
"9",10221526964,"9/17/18 9:39","18-24","Female","North America, United States","Bachelor_Degree","Middle Class","Instagram","0-2","Yes","No_influence","Doctors","False","False","True","False","False","False","True","True","True","True","True","True"
"10",10221037083,"9/17/18 5:04","25-34","Male","Australia/ Oceania","Professional_Degree","Middle Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"11",10220390283,"9/16/18 16:41","45-54","Female","North America, Other","Master_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","Unsure","False","False","True","True","True","True","Unsure","True"
"12",10220118457,"9/16/18 10:05","45-54","Female","Europe","Bachelor_Degree","Middle Class","Twitter","3-4","Yes","Influenced_better","Doctors","False","False","Unsure","False","False","False","True","True","True","True","Unsure","True"
"13",10219299914,"9/15/18 10:28","18-24","Female","North America, United States","Bachelor_Degree","Middle Class","Twitter","0-2","Yes","Influenced_better","Doctors","False","False","Unsure","False","Unsure","False","True","Unsure","Unsure","True","Unsure","True"
"14",10214218246,"9/12/18 22:17","25-34","Female","North America, United States","Bachelor_Degree","Middle Class","Twitter","3-4","Yes","Influenced_better","Doctors","False","False","False","Unsure","Unsure","False","True","True","True","True","Unsure","True"
"15",10211997660,"9/12/18 3:27","25-34","Female","Europe","Professional_Degree","Middle Class","Facebook","0-2","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"16",10211123318,"9/11/18 16:27","25-34","Female","Europe","Bachelor_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"17",10208811903,"9/10/18 17:46","55-64","Female","North America, United States","Master_Degree","Upper Class","Twitter","5-6","Yes","No_influence","Doctors","False","False","False","Unsure","True","False","True","True","True","True","True","True"
"18",10208220194,"9/10/18 12:55","18-24","Female","North America, United States","Professional_Degree","Middle Class","Twitter","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","Unsure","True"
"19",10207637891,"9/10/18 9:04","25-34","Female","North America, United States","Professional_Degree","Upper Class","Twitter","0-2","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","Unsure","True"
"20",10205887918,"9/9/18 8:55","18-24","Female","North America, United States","Associate_Degree","Upper Class","Facebook","0-2","Yes","Influenced_worse","Internet","Unsure","True","True","True","True","True","False","False","False","False","True","False"
"21",10205588299,"9/9/18 1:53","18-24","Female","North America, United States","Bachelor_Degree","Middle Class","Twitter","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"22",10204963663,"9/8/18 12:36","18-24","Female","North America, United States","Bachelor_Degree","Middle Class","Facebook","3-4","Yes","Influenced_worse","Internet","Unsure","False","True","True","True","Unsure","False","Unsure","True","True","True","True"
"23",10204503916,"9/8/18 6:54","18-24","Female","North America, United States","Bachelor_Degree","Lower Class","Instagram","0-2","Yes","Influenced_better","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"24",10203188279,"9/7/18 13:14","25-34","Female","North America, United States","High_school","Middle Class","Facebook","0-2","Yes","Influenced_worse","Peers/Friends","True","True","True","True","True","True","False","False","False","False","True","False"
"25",10202037478,"9/7/18 2:00","25-34","Female","North America, United States","Master_Degree","Middle Class","Instagram","3-4","Yes","No_influence","Doctors","False","False","False","False","False","Unsure","True","True","True","True","True","True"
"26",10201944795,"9/7/18 0:18","25-34","Male","Australia/ Oceania","Bachelor_Degree","Middle Class","Twitter","0-2","No","Not_seen","The government","False","False","False","False","False","False","True","True","True","True","True","True"
"27",10201719084,"9/6/18 20:32","35-44","Female","North America, United States","Bachelor_Degree","Upper Class","Facebook","0-2","Yes","No_influence","Doctors","False","False","True","False","False","False","False","True","True","True","Unsure","True"
"28",10201691471,"9/6/18 20:10","25-34","Female","North America, Other","Bachelor_Degree","Middle Class","Instagram","3-4","Yes","No_influence","Doctors","False","False","False","False","False","True","True","Unsure","True","True","True","True"
"29",10201242094,"9/6/18 15:09","45-54","Male","North America, Other","Bachelor_Degree","Middle Class","Twitter","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","Unsure","True","True","True"
"30",10200759117,"9/6/18 12:01","45-54","Female","North America, United States","Professional_Degree","Upper Class","Facebook","0-2","No","Not_seen","Doctors","False","False","False","False","False","False","True","True","Unsure","Unsure","Unsure","True"
"31",10199570577,"9/6/18 1:16","25-34","Female","North America, United States","Bachelor_Degree","Middle Class","Instagram","5-6","Yes","No_influence","Doctors","False","False","Unsure","False","False","False","True","True","True","True","True","True"
"32",10199324400,"9/5/18 21:08","25-34","Female","North America, United States","Professional_Degree","Middle Class","Facebook","3-4","Yes","No_influence","Doctors","False","False","False","False","False","False","True","True","True","True","True","True"
"33",10199322801,"9/5/18 21:07","18-24","Female","North America, United States","Associate_Degree","Middle Class","Instagram","5-6","Yes","No_influence","Doctors","Unsure","True","True","True","False","True","Unsure","True","True","False","True","Unsure"
